time (s),charge (pC),mass (g),RH (%),temp (C)
0.0,0.0,0.0,0.0,0.0
0.0,0.9545956999999999,,0.0,0.0
0.34299445152282715,0.9539756,0.0,0.0,0.0
0.6849911212921143,0.962864,0.0,0.0,0.0
1.0279934406280518,0.9684452,0.0,0.0,0.0
1.37099027633667,0.9760933,0.0,0.0,0.0
1.7139892578125,0.9796073,0.0,0.0,0.0
2.0569889545440674,0.9887025,0.0,0.0,0.0
2.4009883403778076,0.9856019,0.0,0.0,0.0
2.7439870834350586,0.9938702,0.0,0.0,0.0
3.0869863033294678,0.9922166,0.0,0.0,0.0
3.43098521232605,1.002138,0.0,0.0,0.0
3.7729849815368652,1.003792,0.0,0.0,0.0
4.115983963012695,1.008133,0.0,0.0,0.0
4.458982467651367,1.007099,0.0,0.0,0.0
4.801982164382935,1.01206,0.0,0.0,0.0
5.144981861114502,1.0139209999999999,0.0,0.0,0.0
5.487980365753174,1.014541,0.0,0.0,0.0
5.830981492996216,1.013094,0.0,0.0,0.0
6.173979759216309,1.013714,0.0,0.0,0.0
6.51697850227356,1.019709,0.0,0.0,0.0
6.859977722167969,1.019502,0.0,0.0,0.0
7.202976226806641,1.0248760000000001,0.0,0.0,0.0
7.545976161956787,1.0314910000000002,0.0,0.0,0.0
7.888974905014038,1.032524,0.0,0.0,0.0
8.232975006103516,1.038106,0.0,0.0,0.0
8.574972867965698,1.037486,0.0,0.0,0.0
8.918973684310913,1.040173,0.0,0.0,0.0
9.261972665786743,1.0457539999999999,0.0,0.0,0.0
9.604971408843994,1.049475,0.0,0.0,0.0
9.947970867156982,1.047201,0.0,0.0,0.0
10.290969371795654,1.052368,0.0,0.0,0.0
10.633968591690063,1.05919,0.0,0.0,0.0
10.976968765258789,1.055469,0.0,0.0,0.0
11.319967985153198,1.06105,0.0,0.0,0.0
11.662966012954712,1.065184,0.0,0.0,0.0
12.005966186523438,1.065598,0.0,0.0,0.0
12.348967552185059,1.063737,0.0,0.0,0.0
12.69196629524231,1.063737,0.0,0.0,0.0
13.033965826034546,1.070972,0.0,0.0,0.0
13.376962661743164,1.073246,0.0,0.0,0.0
13.71996283531189,1.0746930000000001,0.0,0.0,0.0
14.062960863113403,1.07738,0.0,0.0,0.0
14.40596055984497,1.0800669999999999,0.0,0.0,0.0
14.748960018157959,1.086682,0.0,0.0,0.0
15.091959238052368,1.082961,0.0,0.0,0.0
15.433957815170288,1.087302,0.0,0.0,0.0
15.77795672416687,1.091849,0.0,0.0,0.0
16.119956016540527,1.094744,0.0,0.0,0.0
16.463958024978638,1.089162,0.0,0.0,0.0
16.806954622268677,1.098671,0.0,0.0,0.0
17.149953365325928,1.105285,0.0,0.0,0.0
17.492952585220337,1.103425,0.0,0.0,0.0
17.83595299720764,1.107353,0.0,0.0,0.0
18.178951025009155,1.11376,0.0,0.0,0.0
18.52195143699646,1.1203750000000001,0.0,0.0,0.0
18.86395001411438,1.118722,0.0,0.0,0.0
19.2079496383667,1.124923,0.0,0.0,0.0
19.549948692321777,1.131744,0.0,0.0,0.0
19.892947673797607,1.1307109999999998,0.0,0.0,0.0
20.235947132110596,1.134845,0.0,0.0,0.0
20.578946590423584,1.138566,0.0,0.0,0.0
20.921945333480835,1.149314,0.0,0.0,0.0
21.264945030212402,1.1522080000000001,0.0,0.0,0.0
21.60794425010681,1.156756,0.0,0.0,0.0
21.950942516326904,1.1650239999999998,0.0,0.0,0.0
22.29294228553772,1.15965,0.0,0.0,0.0
22.63694167137146,1.1691580000000001,0.0,0.0,0.0
22.97894024848938,1.1741190000000001,0.0,0.0,0.0
23.322940349578857,1.178667,0.0,0.0,0.0
23.665939569473267,1.179907,0.0,0.0,0.0
24.008938550949097,1.18094,0.0,0.0,0.0
24.351938009262085,1.181561,0.0,0.0,0.0
24.694936275482178,1.1846610000000002,0.0,0.0,0.0
25.0379376411438,1.184868,0.0,0.0,0.0
25.38093590736389,1.192723,0.0,0.0,0.0
25.723936319351196,1.188382,0.0,0.0,0.0
26.06693458557129,1.191483,0.0,0.0,0.0
26.409934282302856,1.194377,0.0,0.0,0.0
26.752931833267212,1.19541,0.0,0.0,0.0
27.0959312915802,1.1999579999999999,0.0,0.0,0.0
27.43993043899536,1.205125,0.0,0.0,0.0
27.781928539276123,1.206366,0.0,0.0,0.0
28.12492799758911,1.210293,0.0,0.0,0.0
28.46792721748352,1.20926,0.0,0.0,0.0
28.811927795410156,1.2119469999999999,0.0,0.0,0.0
29.153927087783813,1.2164940000000002,0.0,0.0,0.0
29.49792504310608,1.2198010000000001,0.0,0.0,0.0
29.839924573898315,1.226416,0.0,0.0,0.0
30.183924198150635,1.226416,0.0,0.0,0.0
30.525923490524292,1.231377,0.0,39.09,20.71
30.871922254562378,1.2338580000000001,0.0,38.57,20.74
31.21692156791687,1.240472,0.0,38.61,20.78
31.56143307685852,1.236545,0.0,38.62,20.8
31.905941486358643,1.237372,0.0,38.66,20.8
32.250940799713135,1.2483270000000002,0.0,38.65,20.81
32.595455169677734,1.253081,0.0,38.62,20.82
32.94046998023987,1.254942,0.0,38.6,20.82
33.28452968597412,1.254322,0.0,38.68,20.82
33.62908363342285,1.2636239999999999,0.0,38.65,20.81
33.973588943481445,1.265277,0.0,38.66,20.83
34.318639039993286,1.262177,0.0,38.65,20.84
34.66317844390869,1.269825,0.0,38.64,20.82
35.00771474838257,1.273959,0.0,38.59,20.83
35.35276818275452,1.274992,0.0,38.66,20.82
35.69779419898987,1.274372,0.0,38.69,20.83
36.04284429550171,1.278507,0.0,38.72,20.85
36.38735222816467,1.281401,0.0,38.71,20.85
36.73186707496643,1.2888419999999998,0.0,38.63,20.84
37.076374530792236,1.288222,0.0,38.72,20.83
37.42137408256531,1.2915290000000001,0.0,38.73,20.83
37.76591420173645,1.296697,0.0,38.66,20.83
38.110939502716064,1.298557,0.0,38.68,20.84
38.45596933364868,1.302484,0.0,38.62,20.84
38.800997495651245,1.305998,0.0,38.66,20.83
39.14605236053467,1.303518,0.0,38.65,20.85
39.49107909202576,1.311373,0.0,38.66,20.84
39.835622787475586,1.310546,0.0,38.63,20.84
40.18062114715576,1.3093059999999999,0.0,38.66,20.84
40.52513384819031,1.321502,0.0,38.71,20.85
40.86964225769043,1.322122,0.0,38.65,20.85
41.21464133262634,1.3233620000000001,0.0,38.63,20.85
41.559640645980835,1.323982,0.0,38.81,20.85
41.904642820358276,1.333491,0.0,38.67,20.84
42.24963879585266,1.323982,0.0,38.7,20.84
42.594637393951416,1.336591,0.0,38.6,20.85
42.9391553401947,1.338038,0.0,38.62,20.85
43.28417778015137,1.337418,0.0,38.64,20.85
43.628753900527954,1.3382450000000001,0.0,38.6,20.84
43.97329354286194,1.3444459999999998,0.0,38.69,20.84
44.318321228027344,1.346513,0.0,38.7,20.85
44.66338348388672,1.344033,0.0,38.67,20.85
45.00840783119202,1.345686,0.0,38.58,20.85
45.3534631729126,1.34734,0.0,38.59,20.84
45.698517084121704,1.343826,0.0,38.66,20.85
46.043543577194214,1.349821,0.0,38.63,20.85
46.38810873031616,1.351474,0.0,38.64,20.85
46.73310828208923,1.353748,0.0,38.63,20.84
47.0776207447052,1.356228,0.0,38.61,20.85
47.42213010787964,1.358709,0.0,38.63,20.84
47.767128705978394,1.362223,0.0,38.65,20.85
48.11212754249573,1.36181,0.0,38.64,20.85
48.45712685585022,1.362636,0.0,38.62,20.84
48.80212593078613,1.3682180000000002,0.0,38.66,20.85
49.147125244140625,1.378139,0.0,38.69,20.85
49.49212455749512,1.383307,0.0,38.64,20.86
49.83712363243103,1.37876,0.0,38.63,20.84
50.182122230529785,1.380206,0.0,38.68,20.84
50.527122020721436,1.388268,0.0,38.69,20.83
50.87212038040161,1.394056,0.0,38.66,20.84
51.21712040901184,1.39571,0.0,38.6,20.84
51.56211876869202,1.399431,0.0,38.63,20.85
51.90711832046509,1.402738,0.0,38.71,20.84
52.251633405685425,1.4072850000000001,0.0,38.6,20.85
52.596660137176514,1.4062519999999998,0.0,38.61,20.83
52.94124174118042,1.408526,0.0,38.71,20.85
53.28577256202698,1.422375,0.0,38.65,20.84
53.63079595565796,1.422375,0.0,38.63,20.84
53.975841999053955,1.421548,0.0,38.63,20.84
54.32086753845215,1.420514,0.0,38.59,20.85
54.66589665412903,1.427129,0.0,38.62,20.84
55.01095390319824,1.4227880000000002,0.0,38.83,20.85
55.35598278045654,1.429816,0.0,38.71,20.85
55.701042890548706,1.432917,0.0,38.65,20.85
56.04558062553406,1.433744,0.0,38.62,20.85
56.39009761810303,1.4331239999999998,0.0,38.68,20.85
56.73460555076599,1.438912,0.0,38.73,20.84
57.0796058177948,1.434571,0.0,38.69,20.85
57.42460560798645,1.435397,0.0,38.61,20.86
57.76960325241089,1.439738,0.0,38.65,20.83
58.114601373672485,1.4438719999999998,0.0,38.64,20.85
58.4596004486084,1.445939,0.0,38.68,20.85
58.80460047721863,1.44842,0.0,38.62,20.84
59.1496000289917,1.446146,0.0,38.78,20.86
59.49459886550903,1.449867,0.0,38.66,20.84
59.839598178863525,1.458755,0.0,38.66,20.86
60.184598445892334,1.456688,0.0,38.63,20.86
60.52959752082825,1.46289,0.0,38.64,20.85
60.874595642089844,1.463303,0.0,38.65,20.84
61.219595193862915,1.4676440000000002,0.0,38.68,20.84
61.56459426879883,1.469297,0.0,38.63,20.86
61.909594774246216,1.472812,0.0,38.62,20.85
62.25459313392639,1.471571,0.0,38.67,20.84
62.59959363937378,1.477153,0.0,38.68,20.85
62.9445903301239,1.485627,0.0,38.61,20.84
63.28959012031555,1.489348,0.0,38.61,20.85
63.6345899105072,1.488108,0.0,38.67,20.83
63.979588747024536,1.496583,0.0,38.67,20.84
64.32458710670471,1.4943089999999999,0.0,38.71,20.84
64.6695864200592,1.503404,0.0,38.72,20.84
65.01458883285522,1.5025769999999998,0.0,38.66,20.85
65.35958552360535,1.5058850000000001,0.0,38.64,20.85
65.70458459854126,1.5155999999999998,0.0,38.6,20.85
66.04958415031433,1.508159,0.0,38.66,20.84
66.39458322525024,1.522008,0.0,38.67,20.85
66.73958230018616,1.525315,0.0,38.65,20.85
67.08458065986633,1.526969,0.0,38.7,20.85
67.42958068847656,1.524282,0.0,38.71,20.84
67.77458071708679,1.535651,0.0,38.71,20.84
68.11957907676697,1.532343,0.0,38.63,20.85
68.46457815170288,1.536684,0.0,38.82,20.85
68.80957770347595,1.5399909999999999,0.0,38.69,20.84
69.15457653999329,1.542678,0.0,38.78,20.84
69.49957609176636,1.5435050000000001,0.0,38.59,20.85
69.84457516670227,1.545779,0.0,38.66,20.85
70.18957424163818,1.549707,0.0,38.72,20.85
70.53457474708557,1.5505339999999999,0.0,38.64,20.85
70.87957620620728,1.557768,0.0,38.63,20.85
71.2245728969574,1.561902,0.0,38.64,20.85
71.56957125663757,1.564176,0.0,38.64,20.86
71.91457200050354,1.56459,0.0,38.65,20.87
72.25956988334656,1.5643829999999999,0.0,38.65,20.86
72.60456871986389,1.570584,0.0,38.72,20.84
72.94956827163696,1.564797,0.0,38.63,20.86
73.2945671081543,1.577405,0.0,38.7,20.87
73.63956642150879,1.579679,0.0,38.72,20.88
